,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
146,Tukituki River U/S Kahahakuri Confluence,147,8,143043.84000000003,8170522,1598,0,66,57,221,2,POINT (1899285.6 5568897.5),1598
147,Tukituki River U/S Kahahakuri Confluence_gaugings,148,8,143043.84000000003,8170522,1598,0,66,57,221,2,POINT (1899285.6 5568897.5),1598
148,Tukituki River U/S Tukipo,149,3,0.0,8169831,1596,0,65,56,220,9,POINT (1898618 5569322.7),1596
149,Tukituki River U/S Tukipo_gaugings,150,3,0.0,8169831,1596,0,65,56,220,9,POINT (1898618 5569322.7),1596
150,Tukituki River at Ashcott Bridge S.H. 50,151,37,157161.6,8168848,1445,0,55,31,191,3,POINT (1886316.8 5574047.8),1445
151,Tukituki River at Ashcott Bridge S.H. 50_gaugings,152,37,157161.6,8168848,1445,0,55,31,191,3,POINT (1886316.8 5574047.8),1445
152,Tukituki River at Fairfield Road,153,26,100344.95999999999,8169081,1545,0,57,44,210,15,POINT (1893013.5 5573324.6),1545
153,Tukituki River at Fairfield Road_gaugings,154,26,100344.95999999999,8169081,1545,0,57,44,210,15,POINT (1893013.5 5573324.6),1545
154,Tukituki River at Folgers,155,21,189466.56000000003,8166119,1322,0,41,15,172,1,POINT (1876701.1 5581626.4),1322
155,Tukituki River at Folgers_gaugings,156,21,189466.56000000003,8166119,1322,0,41,15,172,1,POINT (1876701.1 5581626.4),1322
156,Tukituki River at Jerrams,157,2,159390.72,8168557,1350,0,46,22,177,8,POINT (1881934.1 5578647.8),1350
157,Tukituki River at Site No.1,159,4,99489.6,8169081,1538,0,56,38,210,8,POINT (1889711.1 5573924.3),1538
158,Tukituki River at Site No.2,160,5,67478.40000000001,8169081,1542,0,55,41,210,12,POINT (1891512.3 5574024.8),1542
159,Tukituki River at Site No.3,161,3,1209.6000000000001,8169555,1584,0,59,47,219,2,POINT (1894314.5 5572424.2),1584
160,Tukituki River at Site No.4,162,5,12441.6,8169555,1587,0,60,50,219,5,POINT (1895815.7 5571824),1587
161,Tukituki River at Stopbank Road,164,3,33782.4,8169831,1593,0,62,55,220,6,POINT (1898317.6 5570523.5),1593
162,Tukituki River at Tapairu Rd,165,30,197553.60000000003,8170945,1599,0,66,57,222,1,POINT (1908325.1 5569524.2),1599
163,Tukituki River at Tapairu Rd_gaugings,166,30,197553.60000000003,8170945,1599,0,66,57,222,1,POINT (1908325.1 5569524.2),1599
164,Tukituki River at Tukituki Rd - F and G,167,17,185941.44,8168557,1353,0,48,23,177,11,POINT (1882466.6 5577537.2),1353
165,Tukituki River at Tukituki Rd - F and G_gaugings,168,17,185941.44,8168557,1353,0,48,23,177,11,POINT (1882466.6 5577537.2),1353
166,Tukituki River at Waipuk Onga Road,169,33,94176.0,8169831,1591,0,61,53,220,4,POINT (1897416.9 5571023.7),1591
167,Tukituki River at Waipuk Onga Road_gaugings,170,33,94176.0,8169831,1591,0,61,53,220,4,POINT (1897416.9 5571023.7),1591
168,Unnamed Maharakeke Trib at Marlow Hill Stn,172,7,1408.3200000000002,8173462,901,0,86,38,111,1,POINT (1889747.4 5559032.6),901
169,Unnamed Maharakeke Trib at Marlow Hill Stn_gaugings,173,7,1408.3200000000002,8173462,901,0,86,38,111,1,POINT (1889747.4 5559032.6),901
